id,nome,data_nascimento,sexo,peso_kg,altura_m
1,pessoa_1502,2000-12-06,F,85.4,1.63
2,pessoa_2587,1992-10-23,F,62.5,1.64
3,pessoa_2654,2009-06-16,M,60.0,1.64
4,pessoa_1056,1974-05-30,M,69.6,1.73
5,pessoa_706,2017-09-20,F,25.8,1.26
6,pessoa_107,2025-08-12,M,2.8,0.55
7,pessoa_590,2021-12-18,F,16.7,1.01
8,pessoa_2469,1997-06-23,M,72.6,1.7
9,pessoa_2414,2005-10-13,M,124.0,1.82
10,pessoa_1601,1999-08-07,F,61.6,1.6
11,pessoa_2465,2006-07-19,F,102.6,1.66
12,pessoa_229,2022-09-18,F,13.4,0.84
13,pessoa_916,2022-06-25,F,15.4,0.91
14,pessoa_795,2024-12-26,F,6.0,0.68
15,pessoa_3022,1995-04-25,F,64.3,1.71
16,pessoa_3544,1975-04-26,M,93.7,1.8
17,pessoa_1074,1996-03-14,F,88.0,1.55
18,pessoa_3352,1975-01-13,F,60.9,1.56
19,pessoa_1745,2004-05-06,F,44.8,1.68
20,pessoa_1085,2008-10-21,F,54.1,1.54
21,pessoa_927,2026-02-22,F,7.6,0.55
22,pessoa_3050,1967-10-21,F,69.0,1.58
23,pessoa_1118,1995-07-01,M,104.0,1.67
24,pessoa_643,2023-10-18,F,15.6,0.92
25,pessoa_4768,1960-04-17,M,68.8,1.66
26,pessoa_502,2025-03-05,F,6.1,0.69
27,pessoa_4067,2014-03-02,F,50.0,1.45
28,pessoa_334,2020-09-29,M,22.2,1.09
29,pessoa_4685,1966-04-19,F,57.7,1.56
30,pessoa_487,2022-05-08,F,17.9,0.87
31,pessoa_1963,1982-10-14,M,70.2,1.7
32,pessoa_394,2020-01-16,F,22.2,1.05
33,pessoa_4843,1937-08-16,M,70.1,1.58
34,pessoa_4867,1937-06-19,F,53.5,1.49
35,pessoa_1756,2002-08-07,M,84.6,1.85
36,pessoa_2516,1997-09-26,M,57.1,1.69
37,pessoa_3586,1992-02-29,M,86.0,1.87
38,pessoa_4316,1946-05-15,M,79.7,1.75
39,pessoa_4967,1959-06-29,F,85.2,1.54
40,pessoa_2100,1981-10-16,F,72.4,1.74
41,pessoa_3600,1971-07-16,M,71.2,1.81
42,pessoa_4122,1974-07-25,M,73.0,1.71
43,pessoa_30,2020-01-18,M,26.2,1.13
44,pessoa_66,2021-08-27,F,27.7,1.02
